,rank,disr,diss,dior,dios,diar,tots,rank,disr,diss,dior,dios,diar,tots,label
0,566.48,0.0,0.0,4.36,1.88,0.12,1.88,208.34389039918273,0.0,0.0,2.1962088546705507,0.7810249675906655,0.3316624790355402,0.7810249675906655,0.0
1,534.72,0.0,0.0,1.84,1.0,0.0,1.04,196.52046543129632,0.0,0.0,1.4047538337136984,0.7071067811865476,0.0,0.7348469228349533,0.0
2,527.92,0.0,0.0,3.08,1.16,0.12,1.24,190.32645638481267,0.0,0.0,1.8009256878986801,0.8000000000000002,0.33166247903554,0.9255628917943215,0.0
3,527.36,0.0,0.0,1.12,0.76,0.12,0.76,189.56680440766343,0.0,0.0,1.1661903789690602,0.5228129047119373,0.33166247903554,0.5228129047119373,0.0
4,527.36,0.0,0.0,0.8,0.64,0.0,0.64,189.56680440766343,0.0,0.0,0.816496580927726,0.5686240703077328,0.0,0.5686240703077328,0.0
5,527.36,0.0,0.0,1.76,0.84,0.0,0.84,189.56680440766343,0.0,0.0,1.6653327995729061,0.6879922480183432,0.0,0.6879922480183432,0.0
6,527.36,0.0,0.0,2.0,0.8,0.0,0.8,189.56680440766343,0.0,0.0,1.4433756729740645,0.7071067811865475,0.0,0.7071067811865475,0.0
7,527.36,0.0,0.0,1.32,0.72,0.0,0.72,189.56680440766343,0.0,0.0,1.4922019523732932,0.6137317546507323,0.0,0.6137317546507323,0.0
8,527.36,0.0,0.0,0.44,0.44,0.0,0.44,189.56680440766343,0.0,0.0,0.7118052168020874,0.5066228051190221,0.0,0.5066228051190221,0.0
9,527.36,0.0,0.0,0.48,0.44,0.0,0.44,189.56680440766343,0.0,0.0,0.7702813338860895,0.5066228051190221,0.0,0.5066228051190221,0.0
10,527.36,0.0,0.0,0.32,0.32,0.0,0.32,189.56680440766343,0.0,0.0,0.47609522856952335,0.47609522856952335,0.0,0.47609522856952335,0.0
11,527.36,0.0,0.0,0.48,0.52,0.0,0.52,189.56680440766343,0.0,0.0,1.0049875621120887,0.5859465277082317,0.0,0.5859465277082317,0.0
12,527.36,0.0,0.0,1.4,0.6,0.0,0.6,189.56680440766343,0.0,0.0,1.2583057392117916,0.6454972243679028,0.0,0.6454972243679028,0.0
13,527.36,0.0,0.0,1.08,0.72,0.0,0.72,189.56680440766343,0.0,0.0,1.2220201853215573,0.7371114795831993,0.0,0.7371114795831993,0.0
14,527.36,0.0,0.0,2.12,1.0,0.0,1.0,189.56680440766343,0.0,0.0,1.4809906594348703,0.7637626158259734,0.0,0.7637626158259734,0.0
15,527.36,0.0,0.0,1.2,0.6,0.0,0.6,189.56680440766343,0.0,0.0,1.2909944487358054,0.8660254037844386,0.0,0.8660254037844386,0.0
16,527.36,0.0,0.0,0.56,0.56,0.0,0.56,189.56680440766343,0.0,0.0,0.8698658900466593,0.5830951894845301,0.0,0.5830951894845301,0.0
17,527.36,0.0,0.0,0.36,0.36,0.0,0.36,189.56680440766343,0.0,0.0,0.6377042156569663,0.4898979485566356,0.0,0.4898979485566356,0.0
18,527.36,0.0,0.0,0.24,0.24,0.0,0.24,189.56680440766343,0.0,0.0,0.5228129047119373,0.4358898943540673,0.0,0.4358898943540673,0.0
19,527.36,0.0,0.0,0.36,0.28,0.0,0.28,189.56680440766343,0.0,0.0,0.5686240703077328,0.45825756949558405,0.0,0.45825756949558405,0.0
20,527.36,0.0,0.0,0.24,0.32,0.0,0.32,189.56680440766343,0.0,0.0,0.5228129047119373,0.5567764362830022,0.0,0.5567764362830022,0.0
21,527.36,0.0,0.0,0.28,0.32,0.0,0.32,189.56680440766343,0.0,0.0,0.458257569495584,0.47609522856952335,0.0,0.47609522856952335,0.0
22,527.36,0.0,0.0,0.2,0.16,0.0,0.16,189.56680440766343,0.0,0.0,0.5,0.37416573867739406,0.0,0.37416573867739406,0.0
23,527.36,0.0,0.0,0.24,0.2,0.0,0.2,189.56680440766343,0.0,0.0,0.5228129047119373,0.4082482904638631,0.0,0.4082482904638631,0.0
24,527.36,0.0,0.0,0.48,0.24,0.0,0.24,189.56680440766343,0.0,0.0,0.6531972647421809,0.4358898943540673,0.0,0.4358898943540673,0.0
25,527.36,0.0,0.0,0.64,0.6,0.04,0.6,189.56680440766343,0.0,0.0,0.6377042156569663,0.6454972243679029,0.2000000000000001,0.6454972243679029,0.0
26,512.0,0.0,0.0,1.1666666666666667,0.5416666666666666,0.5416666666666666,0.875,177.0404031508799,0.0,0.0,1.0494995356656043,0.6580053301400786,1.3824731042801417,0.7974142996067924,0.0
27,527.36,0.0,0.0,0.32,0.32,0.96,0.8,189.56680440766343,0.0,0.0,0.5567764362830022,0.47609522856952335,1.946792233393178,0.816496580927726,0.0
28,541.5384615384615,0.0,0.0,0.8076923076923077,0.6538461538461539,0.23076923076923078,0.7307692307692307,199.31105955650943,0.0,0.0,0.8494342008292705,0.4851645240375839,0.514407799916938,0.533493565673837,0.0
29,512.0,0.0,0.0,0.7916666666666666,0.5833333333333334,0.125,0.5833333333333334,177.0404031508799,0.0,0.0,0.8329709356935241,0.5835920751217646,0.3378319623460881,0.5835920751217646,0.0
30,541.5384615384615,0.0,0.0,1.4615384615384615,0.8461538461538461,0.07692307692307693,0.9230769230769231,199.31105955650943,0.0,0.0,1.4207257083834086,0.8805592628464112,0.27174648819470304,0.9347973865208193,0.0
31,512.0,0.0,0.0,1.1666666666666667,0.5416666666666666,0.08333333333333333,0.5833333333333334,177.0404031508799,0.0,0.0,1.0901402648748688,0.6580053301400787,0.2823298512866399,0.6538625481582945,0.0
