,rank,disr,diss,dior,dios,diar,tots,rank,disr,diss,dior,dios,diar,tots,label
0,643.25,0.0,0.0,4.675,2.1,0.425,2.175,298.3891582205857,0.0,0.0,2.7954862885987457,1.4987174003640067,0.843907274041104,1.6623662467884563,0.0
1,618.45,0.0,0.0,2.6,1.125,0.475,1.3,276.817810120664,0.0,0.0,1.6298497649815016,0.9111137169026735,1.1091114484704436,1.0177904675803546,0.0
2,608.7,0.0,0.0,3.075,1.45,0.25,1.525,267.0031402869204,0.0,0.0,1.8029534174905977,0.8149248824907508,0.5430209893473685,0.9867714774546074,0.0
3,603.95,0.0,0.0,1.225,0.775,0.025,0.775,260.6289188354457,0.0,0.0,1.1872722453655622,0.5304811555656398,0.15811388300841892,0.5304811555656398,0.0
4,603.95,0.0,0.0,0.55,0.575,0.0,0.575,260.6289188354457,0.0,0.0,0.7143223433831607,0.6359930655967715,0.0,0.6359930655967715,0.0
5,603.95,0.0,0.0,2.1,0.875,0.175,0.875,260.6289188354457,0.0,0.0,1.8646509262923918,0.7574417130828938,0.5494752741689815,0.7574417130828938,0.0
6,599.175,0.0,0.0,2.3,0.875,0.075,0.975,255.6892031153126,0.0,0.0,1.3996336517011725,0.6864064729836441,0.26674678283691866,0.7675301714607471,0.0
7,598.775,0.0,0.0,1.05,0.65,0.05,0.675,255.20574781526517,0.0,0.0,1.1972189997378648,0.6621642835894566,0.22072142786315213,0.6558416006386032,0.0
8,598.775,0.0,0.0,0.525,0.45,0.1,0.475,255.20574781526517,0.0,0.0,0.8766925023004043,0.552384110133705,0.44144285572630426,0.5541220822628188,0.0
9,587.8717948717949,0.0,0.0,0.5384615384615384,0.5384615384615384,0.0,0.5641025641025641,248.9248649574045,0.0,0.0,0.7555462940344226,0.5547001962252291,0.0,0.5522619418008752,0.0
10,609.1463414634146,0.0,0.0,0.43902439024390244,0.3902439024390244,0.0,0.3902439024390244,260.59907530300353,0.0,0.0,0.6343808196897538,0.49386479832479474,0.0,0.49386479832479474,0.0
11,598.775,0.0,0.0,0.675,0.425,0.0,0.425,255.20574781526517,0.0,0.0,0.8285761652005578,0.5494752741689807,0.0,0.5494752741689807,0.0
12,598.775,0.0,0.0,1.15,0.65,0.125,0.7,255.20574781526517,0.0,0.0,1.1886212655091244,0.6998168258505861,0.40430377003131995,0.7578647467450733,0.0
13,597.775,0.0,0.0,1.7,0.75,0.075,0.775,254.95756182810766,0.0,0.0,1.3996336517011727,0.6698641270570836,0.26674678283691855,0.6597396533909498,0.0
14,595.2,0.0,0.0,1.975,1.075,0.0,1.1,248.5901992828502,0.0,0.0,1.4586171884919301,0.6558416006386033,0.0,0.6717752982077053,0.0
15,595.2,0.0,0.0,1.325,0.75,0.1,0.8,248.5901992828502,0.0,0.0,1.2887580982858795,0.6698641270570836,0.3038218101250999,0.7232405706795789,0.0
16,595.2,0.0,0.0,0.5,0.4,0.05,0.4,248.5901992828502,0.0,0.0,0.7510676161988108,0.5453768398418634,0.22072142786315213,0.5453768398418634,0.0
17,595.2,0.0,0.0,0.4,0.5,0.0,0.5,248.5901992828502,0.0,0.0,0.6717752982077053,0.5991446895152781,0.0,0.5991446895152781,0.0
18,595.2,0.0,0.0,0.35,0.275,0.0,0.275,248.5901992828502,0.0,0.0,0.622237484550302,0.4522025867763024,0.0,0.4522025867763024,0.0
19,595.2,0.0,0.0,0.225,0.225,0.1,0.25,248.5901992828502,0.0,0.0,0.47971679679599005,0.4229020617662604,0.30382181012509973,0.49354811679282456,0.0
20,595.2,0.0,0.0,0.325,0.25,0.0,0.25,248.5901992828502,0.0,0.0,0.6938373414643062,0.4385290096535146,0.0,0.4385290096535146,0.0
21,595.2,0.0,0.0,0.275,0.325,0.0,0.325,248.5901992828502,0.0,0.0,0.6400120191179107,0.4743416490252569,0.0,0.4743416490252569,0.0
22,595.2,0.0,0.0,0.25,0.275,0.0,0.275,248.5901992828502,0.0,0.0,0.6304251719561152,0.4522025867763024,0.0,0.4522025867763024,0.0
23,595.2,0.0,0.0,0.225,0.25,0.0,0.25,248.5901992828502,0.0,0.0,0.5304811555656398,0.49354811679282456,0.0,0.49354811679282456,0.0
24,595.2,0.0,0.0,0.25,0.225,0.0,0.225,248.5901992828502,0.0,0.0,0.5430209893473685,0.4229020617662604,0.0,0.4229020617662604,0.0
25,595.2,0.0,0.0,0.95,0.5,0.0,0.525,248.5901992828502,0.0,0.0,0.95943359359198,0.6405126152203485,0.0,0.6400120191179106,0.0
26,595.2,0.0,0.0,0.975,0.6,0.3,0.875,248.5901992828502,0.0,0.0,0.9736924170788859,0.6717752982077051,1.1367971201176115,0.7574417130828938,0.0
27,595.2,0.0,0.0,0.825,0.4,1.15,0.775,248.5901992828502,0.0,0.0,0.8439072740411041,0.5905234531480937,2.0822817859015705,0.7675301714607474,0.0
28,595.2,0.0,0.0,0.875,0.675,0.7,0.8,248.5901992828502,0.0,0.0,0.8223636976922384,0.572332161042958,1.1140133037920334,0.6868732574462859,0.0
29,595.2,0.0,0.0,0.875,0.675,0.15,0.725,248.5901992828502,0.0,0.0,0.7905694150420949,0.5256253906367645,0.4266746794119403,0.505736325340815,0.0
30,595.2,0.0,0.0,1.0,0.725,0.05,0.725,248.5901992828502,0.0,0.0,1.1094003924504583,0.505736325340815,0.22072142786315213,0.505736325340815,0.0
31,595.2,0.0,0.0,1.025,0.7,0.0,0.725,248.5901992828502,0.0,0.0,0.9736924170788857,0.6484695987575828,0.0,0.7156671622894872,0.0
32,595.2,0.0,0.0,1.55,0.65,0.025,0.65,248.5901992828502,0.0,0.0,1.4133067244713362,0.6621642835894567,0.15811388300841892,0.6621642835894567,0.0
33,595.2,0.0,0.0,0.6,0.375,0.0,0.4,248.5901992828502,0.0,0.0,1.0573309405993554,0.5856182356695512,0.0,0.6324555320336759,0.0
34,595.2,0.0,0.0,0.325,0.325,0.05,0.35,248.5901992828502,0.0,0.0,0.6938373414643063,0.4743416490252569,0.22072142786315213,0.5334935656738371,0.0
35,595.2,0.0,0.0,0.175,0.2,0.125,0.25,248.5901992828502,0.0,0.0,0.3848076442547925,0.4050957468334667,0.46340434799814917,0.49354811679282456,0.0
