,rank,disr,diss,dior,dios,diar,tots,rank,disr,diss,dior,dios,diar,tots,label
0,568.96,0.0,0.0,2.84,1.52,0.12,1.52,286.489598415021,0.0,0.0,1.6999999999999997,0.7141428428542852,0.3316624790355401,0.7141428428542852,0.0
1,551.12,0.0,0.0,2.64,0.96,0.0,0.96,269.2804176566379,0.0,0.0,1.8230011885167086,0.7895146188218006,0.0,0.7895146188218006,0.0
2,551.6666666666666,0.0,0.0,1.75,1.1666666666666667,0.0,1.1666666666666667,270.9388935866739,0.0,0.0,1.224744871391589,0.8164965809277263,0.0,0.8164965809277263,0.0
3,544.96,0.0,0.0,0.76,0.68,0.0,0.68,267.3456688758332,0.0,0.0,0.969535971483266,0.5567764362830021,0.0,0.5567764362830021,0.0
4,543.8461538461538,0.0,0.0,0.38461538461538464,0.23076923076923078,0.0,0.23076923076923078,262.0057544875978,0.0,0.0,0.7524319545007679,0.42966892442365967,0.0,0.42966892442365967,0.0
5,545.1666666666666,0.0,0.0,1.7083333333333333,0.7916666666666666,0.0,0.7916666666666666,272.6194459660583,0.0,0.0,1.3344650993747553,0.7210600087592461,0.0,0.7210600087592461,0.0
6,543.84,0.0,0.0,1.88,0.72,0.0,0.72,266.9618699365136,0.0,0.0,1.3012814197295424,0.6137317546507324,0.0,0.6137317546507324,0.0
7,540.8,0.0,0.0,0.72,0.4,0.0,0.4,262.7698612854983,0.0,0.0,0.6782329983125268,0.5,0.0,0.5,0.0
8,540.8,0.0,0.0,0.24,0.24,0.0,0.24,262.7698612854983,0.0,0.0,0.5228129047119374,0.5228129047119373,0.0,0.5228129047119373,0.0
9,540.8,0.0,0.0,0.2,0.28,0.0,0.28,262.7698612854983,0.0,0.0,0.4082482904638631,0.45825756949558394,0.0,0.45825756949558394,0.0
10,540.8,0.0,0.0,0.24,0.2,0.0,0.2,262.7698612854983,0.0,0.0,0.5228129047119373,0.4082482904638631,0.0,0.4082482904638631,0.0
11,540.64,0.0,0.0,0.8,0.32,0.0,0.32,262.70561470969744,0.0,0.0,1.224744871391589,0.5567764362830023,0.0,0.5567764362830023,0.0
12,540.64,0.0,0.0,1.24,0.64,0.0,0.64,262.70561470969744,0.0,0.0,1.0908712114635717,0.6999999999999998,0.0,0.6999999999999998,0.0
13,534.6153846153846,0.0,0.0,1.3846153846153846,0.8076923076923077,0.038461538461538464,0.8461538461538461,259.2245477454752,0.0,0.0,1.2353759938390603,0.6336706254344299,0.19611613513818396,0.7316998123442532,0.0
