,rank,disr,diss,dior,dios,diar,tots,rank,disr,diss,dior,dios,diar,tots,label
0,568.9583333333334,0.0,0.0,3.875,1.8333333333333333,0.041666666666666664,1.8333333333333333,210.9146703963615,0.0,0.0,1.5690623065191294,0.3806934938134405,0.20412414523193154,0.3806934938134405,0.0
1,542.92,0.0,0.0,1.52,1.04,0.0,1.04,207.1016095221538,0.0,0.0,1.2622730819174326,0.6110100926607785,0.0,0.6110100926607785,0.0
2,534.68,0.0,0.0,2.92,1.16,0.0,1.16,192.41615490043102,0.0,0.0,1.80092568789868,0.7461009761866464,0.0,0.7461009761866464,0.0
3,529.44,0.0,0.0,1.04,0.88,0.0,0.88,190.3766179620456,0.0,0.0,0.9345230512584125,0.5259911279353168,0.0,0.5259911279353168,0.0
4,528.72,0.0,0.0,0.52,0.44,0.0,0.44,188.81947286583903,0.0,0.0,0.8717797887081346,0.5066228051190221,0.0,0.5066228051190221,0.0
5,528.68,0.0,0.0,1.44,0.56,0.0,0.56,192.03747898088366,0.0,0.0,1.2274635093014648,0.650640709864771,0.0,0.650640709864771,0.0
6,524.16,0.0,0.0,1.52,0.84,0.0,0.84,191.16172908473774,0.0,0.0,1.2288205727444508,0.7461009761866466,0.0,0.7461009761866466,0.0
7,523.92,0.0,0.0,0.76,0.36,0.0,0.36,186.56074077897523,0.0,0.0,0.8306623862918077,0.4898979485566356,0.0,0.4898979485566356,0.0
8,521.84,0.0,0.0,0.36,0.32,0.0,0.32,187.7970269555227,0.0,0.0,0.5686240703077328,0.5567764362830021,0.0,0.5567764362830021,0.0
9,523.52,0.0,0.0,0.2,0.16,0.0,0.16,185.58805636857846,0.0,0.0,0.4082482904638631,0.37416573867739406,0.0,0.37416573867739406,0.0
10,522.96,0.0,0.0,0.08,0.12,0.0,0.12,187.59030714120956,0.0,0.0,0.2768874620972691,0.33166247903554,0.0,0.33166247903554,0.0
11,523.4,0.0,0.0,0.2,0.2,0.0,0.2,187.7791255704425,0.0,0.0,0.4082482904638631,0.4082482904638631,0.0,0.4082482904638631,0.0
12,520.32,0.0,0.0,0.8,0.28,0.0,0.28,187.54148874315786,0.0,0.0,0.816496580927726,0.458257569495584,0.0,0.458257569495584,0.0
13,517.12,0.0,0.0,1.32,0.88,0.0,0.88,185.17093904462078,0.0,0.0,0.9882644720249061,0.7257180352359082,0.0,0.7257180352359082,0.0
14,511.2083333333333,0.0,0.0,1.4166666666666667,0.7916666666666666,0.0,0.7916666666666666,187.00987631828357,0.0,0.0,1.2128538629008951,0.721060008759246,0.0,0.721060008759246,0.0
15,516.48,0.0,0.0,1.28,0.84,0.0,0.84,184.46343811172991,0.0,0.0,1.0999999999999999,0.6244997998398398,0.0,0.6244997998398398,0.0
